iter	Passed	Remaining
720	2364	914
721	2367	911
722	2370	908
723	2375	905
724	2378	902
725	2381	898
726	2384	895
727	2387	892
728	2391	888
729	2394	885
730	2396	881
731	2400	878
732	2403	875
733	2406	872
734	2409	868
735	2412	865
736	2414	861
737	2418	858
738	2421	855
739	2424	851
740	2427	848
741	2430	844
742	2433	841
743	2436	838
744	2439	835
745	2442	831
746	2445	828
747	2449	825
748	2452	821
749	2454	818
750	2457	814
751	2460	811
752	2464	808
753	2466	804
754	2469	801
755	2472	797
756	2475	794
757	2479	791
758	2481	787
759	2484	784
760	2487	781
761	2490	777
762	2493	774
763	2496	771
764	2499	767
765	2502	764
766	2505	761
767	2509	757
768	2511	754
769	2514	751
770	2518	747
771	2520	744
772	2524	741
773	2526	737
774	2529	734
775	2532	730
776	2535	727
777	2538	724
778	2542	721
779	2544	717
780	2547	714
781	2550	710
782	2555	708
783	2558	704
784	2561	701
785	2564	698
786	2567	694
787	2571	691
788	2574	688
789	2577	685
790	2580	681
791	2584	678
792	2588	675
793	2590	672
794	2593	668
795	2596	665
796	2600	662
797	2603	658
798	2606	655
799	2608	652
800	2612	648
801	2615	645
802	2618	642
803	2620	638
804	2623	635
805	2626	632
806	2630	629
807	2633	625
808	2636	622
809	2639	619
810	2643	616
811	2646	612
812	2649	609
813	2651	605
814	2654	602
815	2658	599
816	2662	596
817	2665	593
818	2667	589
819	2670	586
820	2674	583
821	2678	580
822	2681	576
823	2684	573
824	2687	570
825	2690	566
826	2693	563
827	2696	560
828	2699	556
829	2702	553
830	2706	550
831	2708	546
832	2711	543
833	2713	540
834	2717	537
835	2720	533
836	2723	530
837	2726	527
838	2729	523
839	2732	520
840	2735	517
841	2738	513
842	2741	510
843	2743	507
844	2747	504
845	2750	500
846	2753	497
847	2757	494
848	2759	490
849	2762	487
850	2765	484
851	2768	480
852	2771	477
853	2773	474
854	2778	471
855	2781	467
856	2783	464
857	2786	461
858	2789	457
859	2792	454
860	2795	451
861	2799	448
862	2802	444
863	2806	441
864	2810	438
865	2813	435
866	2816	432
867	2820	428
868	2824	425
869	2827	422
870	2831	419
871	2835	416
872	2838	413
873	2842	409
874	2845	406
875	2848	403
876	2851	399
877	2854	396
878	2857	393
879	2860	390
880	2863	386
881	2866	383
882	2869	380
883	2872	376
884	2875	373
885	2877	370
886	2881	367
887	2884	363
888	2887	360
889	2889	357
890	2892	353
891	2895	350
892	2898	347
893	2901	344
894	2904	340
895	2907	337
896	2910	334
897	2913	330
898	2916	327
899	2919	324
900	2921	321
901	2924	317
902	2928	314
903	2930	311
904	2933	307
905	2936	304
906	2939	301
907	2942	298
908	2945	294
909	2948	291
910	2951	288
911	2954	285
912	2957	281
913	2960	278
914	2963	275
915	2966	272
916	2969	268
917	2972	265
918	2975	262
919	2978	259
920	2981	255
